name,birthday,nationality
Tom Hanks,1956-07-09,US
Meryl Streep,1949-06-22,US
Leonardo DiCaprio,1974-11-11,US
Emma Watson,1990-04-15,UK
Morgan Freeman,1937-06-01,US
Angelina Jolie,1975-06-04,US
Brad Pitt,1963-12-18,US
Cate Blanchett,1969-05-14,AU
Al Pacino,1940-04-25,US
Audrey Hepburn,1929-05-04,NL
Denzel Washington,1954-12-28,US
Sharon Stone,1958-03-10,US
Robert Downey Jr.,1965-04-04,US
Kate Winslet,1975-10-05,UK
Rowan Atkinson,1955-01-06,UK
Steven Seagal,1952-04-10,US
Arnold Schwarzenegger,1947-07-30,AT
Jackie Chan,1954-04-07,HK
Orlando Bloom,1977-01-13,UK
Scarlett Johansson,1984-11-22,US
Nicolas Cage,1964-01-07,US
Monica Bellucci,1964-10-30,IT
Jean-Claude Van Damme,1960-10-18,BE
Charlize Theron,1975-08-07,ZA
Benedict Cumberbatch,1976-07-19,UK
